;@qpcr:group;;;;;@qpcr:group;;;;;@qpcr:group;;;;
Target;Dog 2 NormalCt;Dog 7 Normal Ct;Dog 11 Normal Ct;Dog 24 Normal Ct;Dog 28 Normal Ct;Dog 5 Mild Ct;Dog 8 Mild Ct;Dog 13 Mild Ct;Dog 15 Mild Ct;Dog 16 Mild Ct;Dog 14 Severe Ct;Dog 23 Severe Ct;Dog 25 Severe Ct;Dog 29 Severe Ct;Dog 30 Severe Ct
miR-539;40;35.609673;40;40;29.71143;35.408264;40;40;34.936287;40;40;40;40;40;40
miR-193b;34.541412;32.500584;32.777462;40;35.55794;31.926245;32.33586;33.27433;32.214684;34.6543;34.88716;33.237907;34.510952;35.52639;31.516077
miR-138a;34.943615;33.355766;34.098507;30.948122;29.327274;32.92959;31.846972;35.277325;32.70367;32.78569;33.768307;34.786297;34.369026;34.287727;31.596617
miR-483;40;34.688705;40;40;22.45276;40;34.64092;40;35.09156;40;40;40;35.016277;35.36981;34.765892
miR-450b;34.940838;30.891973;32.601906;35.008827;26.07165;31.12739;32.054466;31.987864;30.211014;33.558613;33.984188;33.297337;35.347897;34.38477;31.962755
miR-139;34.14072;34.82926;35.490406;34.776455;26.40612;34.794724;33.149467;34.12633;31.881903;34.903973;40;35.36582;40;40;35.465637
miR-764;35.60089;34.613445;35.14996;34.57219;35.548935;35.37042;34.964344;35.42026;34.41928;34.33336;40;35.074024;35.564556;35.037533;32.932423
miR-302b;40;40;40;40;29.964619;40;40;40;40;40;40;40;40;40;40
miR-876;40;35.29329;40;40;26.546373;34.630524;34.883762;35.30031;34.990547;40;35.553764;40;40;40;35.253384
miR-95;35.45762;33.8076;35.05213;40;34.707676;35.24903;35.47451;32.65667;35.133183;34.907448;33.41711;34.958317;34.322296;33.839455;35.044487
miR-568;40;40;40;40;29.88129;40;40;40;40;40;40;40;40;40;40
miR-365;29.230473;25.691067;26.76584;31.432806;23.289988;26.062984;27.716713;26.842482;25.30669;28.26589;30.946363;26.870924;31.632309;30.829084;26.53068
miR-582;40;40;40;40;25.21809;34.501137;40;40;32.879704;40;40;40;40;40;40
miR-545;40;40;40;40;26.090715;40;40;40;40;40;40;40;40;40;40
miR-421;33.049427;29.301746;31.261425;32.91959;26.55134;30.953905;29.946075;30.569036;29.940384;31.845697;32.903557;31.840824;32.995342;33.33756;31.523493
miR-379;35.503548;32.19443;40;34.769665;26.539337;35.527985;34.312634;33.135654;32.23385;33.112606;35.0966;33.688164;40;40;34.408504
miR-1306;31.638092;29.078783;30.525936;33.51524;27.014048;29.0342;29.744818;30.384188;29.304361;31.901434;34.124054;29.980843;32.613064;32.736702;29.968187
miR-127;35.33571;31.975933;34.355522;40;27.001394;32.90429;33.774734;35.739315;31.353891;35.276188;40;34.901752;40;40;34.650936
miR-190a;35.39341;32.186543;40;35.017864;32.61613;33.953304;34.577606;33.714;31.45243;35.503376;40;35.927334;40;40;33.16134
miR-28;30.85774;27.295324;29.400572;33.85348;27.622305;28.335085;29.322193;29.234873;28.292439;30.890583;33.323666;29.628916;31.27126;32.032894;29.39855
miR-490;34.794224;34.8457;35.493324;40;30.340094;33.876534;34.500862;35.255123;34.32718;35.600117;40;32.810368;40;40;34.7813
miR-128;31.709772;28.256348;30.387817;34.484715;29.028212;28.943306;29.303173;29.586985;28.075947;31.41915;33.098072;30.121223;34.475243;33.97016;30.178196
miR-20b;34.843826;33.381664;35.30322;33.647495;28.270815;34.302773;33.81387;34.668674;32.516727;35.320152;40;34.665573;35.52911;35.256966;32.839905
miR138b;33.36211;32.2587;31.986214;29.870827;35.49355;31.903643;31.899231;34.285446;32.008812;33.11471;34.263744;32.88637;33.37318;30.612915;31.735136
miR-376a;40;34.509766;34.300694;40;34.3995;34.630394;35.660336;40;32.648743;35.476357;40;40;40;40;34.548157
miR-29a;28.047115;26.286394;27.326174;31.99062;31.780313;25.192787;26.475416;25.833555;23.61222;28.848888;30.193892;27.544186;31.818672;30.829273;25.045029
miR-144;40;40;40;40;32.48833;40;35.49527;40;40;40;40;40;40;40;40
miR-759;40;40;40;40;40;40;34.538227;35.109238;40;40;40;40;35.33111;40;40
miR-500;34.818165;32.919605;33.261513;40;35.556015;32.860653;32.17601;32.732716;32.496246;33.29008;33.94414;33.133064;40;34.524353;33.279846
miR-181c;34.221565;28.898178;31.387518;40;32.698658;29.982672;30.22438;29.99895;27.876411;31.247873;34.08827;31.87276;40;40;29.72322
